first_name,last_name,role
Miki,Araya,"['Story', 'Art', 'Story & Art']"
Haruka,Fukushima,"['Story', 'Art', 'Story & Art']"
,toi8,['Art']
Asato,Mizu,"['Story', 'Art', 'Story & Art']"
Yukiko,Horiguchi,['Art']
Kuuji,Kodou,['Story']
Hina,Sakurada,"['Story', 'Art', 'Story & Art']"
,Nanami,['Story']
,KRN,['Art']
You,Shiina,"['Story', 'Art', 'Story & Art']"
Sennendou,Taguchi,['Story']
,Harada,"['Story', 'Art', 'Story & Art']"
Yuu,Higashino,"['Story', 'Art', 'Story & Art']"
Ayato,Miyoshi,"['Story', 'Art', 'Story & Art']"
Momo,Hinata,['Art']
Tsuzuru,Miyabi,"['Story', 'Art', 'Story & Art']"
Hajime,Kanzaka,['Story']
Megumi,Nakata,['Art']
Banana,Nangoku,"['Story', 'Art', 'Story & Art']"
,Sukesaburou,"['Story', 'Art', 'Story & Art']"
,Key,['Story']
Yagi,Honjo,['Story']
Reiko,Shimizu,"['Story', 'Art', 'Story & Art']"
,Taamo,"['Story', 'Art', 'Story & Art']"
Akira,Himekawa,"['Story', 'Art', 'Story & Art']"
Kairyo,Honoo,['Art']
Nankotsu,Misakura,['Art']
Katsuhiro,Otomo,"['Story', 'Art', 'Story & Art']"
,M-and-M,['Art']
,Dr. Ten,"['Story', 'Art', 'Story & Art']"
Yaya,Sakuragi,"['Story', 'Art', 'Story & Art']"
Megumi,Toda,"['Story', 'Art', 'Story & Art']"
Yoshitoshi,Abe,"['Story', 'Art', 'Story & Art']"
Kenshi,Hirokane,"['Story', 'Art', 'Story & Art']"
Mahito,Hayase,['Story']
Mayumi,Yokoyama,"['Story', 'Art', 'Story & Art']"
Iori,Shigano,"['Story', 'Art', 'Story & Art']"
,Asagiri,['Art']
Okina,Kamino,['Story']
Satoru,Takamiya,"['Story', 'Art', 'Story & Art']"
Tarou,Spiritus,"['Story', 'Art', 'Story & Art']"
Yusa,Saikawa,"['Story', 'Art', 'Story & Art']"
Rei,Shinozaki,"['Story', 'Art', 'Story & Art']"
Mari,Okazaki,"['Story', 'Art', 'Story & Art']"
Mai,Ai,['Story']
Erika,Kurahashi,"['Story', 'Art', 'Story & Art']"
Neko,Kanda,"['Story', 'Art', 'Story & Art']"
,Giuniu,"['Story', 'Art', 'Story & Art']"
Aoi,Hashimoto,"['Story', 'Art', 'Story & Art']"
Shouko,Konami,"['Story', 'Art', 'Story & Art']"
Muku,Ogura,"['Story', 'Art', 'Story & Art']"
Mako,Takahashi,"['Story', 'Art', 'Story & Art']"
Juu,Ayakura,"['Story', 'Art', 'Story & Art']"
,Hideyoshico,"['Story', 'Art', 'Story & Art']"
Shin,Yumachi,"['Story', 'Art', 'Story & Art']"
Yumisuke,Kotoyoshi,"['Story', 'Art', 'Story & Art']"
Yuichi,Murakami,"['Story', 'Art', 'Story & Art']"
,Souryuu,"['Story', 'Art', 'Story & Art']"
Nanki,Satou,"['Story', 'Art', 'Story & Art']"
Taiyou,Matsumoto,"['Story', 'Art', 'Story & Art']"
Kouji,Ogata,['Art']
Fumiko,Fumi,"['Story', 'Art', 'Story & Art']"
Shinichi,Hiromoto,"['Story', 'Art', 'Story & Art']"
Satoshi,Morie,"['Story', 'Art', 'Story & Art']"
Kousei,Takahashi,['Story']
,Shimaji,"['Story', 'Art', 'Story & Art']"
Reiji,Mai,['Story']
Youji,Sorimura,"['Story', 'Art', 'Story & Art']"
,shuz,"['Story', 'Art', 'Story & Art']"
Hiroshi,Hirata,"['Story', 'Art', 'Story & Art']"
Shibito,Koiwazurai,"['Story', 'Art', 'Story & Art']"
Anri,Sakano,"['Story', 'Art', 'Story & Art']"
Humikane,Shimada,"['Story', 'Art']"
Naoko,Kodama,"['Story', 'Art', 'Story & Art']"
,Kagami,['Art']
Risa,Miyasu,['Art']
,Fal Maro,['Art']
Tsugumi,Nanamiya,"['Story', 'Art', 'Story & Art']"
Hiroyuki,Tamakoshi,"['Story', 'Art', 'Story & Art']"
,kashmir,"['Story', 'Art', 'Story & Art']"
Mura,Midorigi,['Art']
Rui,Aimi,['Story']
Toshihiro,Ono,"['Story', 'Art', 'Story & Art']"
Masakazu,Katsura,"['Story', 'Art', 'Story & Art']"
Hyougo,Kijima,"['Story', 'Art', 'Story & Art']"
Aya,Nakahara,"['Story', 'Art', 'Story & Art']"
Kanan,Minami,"['Story', 'Art', 'Story & Art']"
Aco,Arisaka,"['Story', 'Art', 'Story & Art']"
,Type-Moon,"['Story', 'Art', 'Story & Art']"
Yuu,Hizaki,['Story']
,Dozamura,"['Story', 'Art', 'Story & Art']"
Ryou,Azuki,"['Story', 'Art', 'Story & Art']"
Takumi,Kobayashi,"['Story', 'Art', 'Story & Art']"
,Inuboshi,"['Story', 'Art', 'Story & Art']"
Shion,Hanyuu,"['Story', 'Art', 'Story & Art']"
Midori,Natsu,['Story']
Satoru,Ozawa,"['Story', 'Art', 'Story & Art']"
Fumi,Yoshinaga,"['Story', 'Art', 'Story & Art']"
Hiroshi,Aizawa,['Art']
,TYPE.90,"['Story', 'Art', 'Story & Art']"
Toshinori,Sogabe,"['Story', 'Art', 'Story & Art']"
Shinshu,Ueda,"['Story', 'Art', 'Story & Art']"
Hitoshi,Sakai,['Story']
Milk,Morinaga,"['Story', 'Art', 'Story & Art']"
,Yashirou,['Story']
Yuiji,Aniya,"['Story', 'Art', 'Story & Art']"
Sakura,Kinoshita,"['Story', 'Art', 'Story & Art']"
Yukari,Kawachi,"['Story', 'Art', 'Story & Art']"
,Matarou,['Art']
Yamabuki,Naruse,['Art']
,Jamming,"['Story', 'Art', 'Story & Art']"
Mitomo,Togawa,"['Story', 'Art', 'Story & Art']"
Inio,Asano,"['Story', 'Art', 'Story & Art']"
Temari,Matsumoto,"['Story', 'Art', 'Story & Art']"
Yutaka,Abe,"['Story', 'Art', 'Story & Art']"
Kana,Nanajima,"['Story', 'Art', 'Story & Art']"
Kentarou,Yabuki,"['Story', 'Art', 'Story & Art']"
,Tomekichi,"['Story', 'Art', 'Story & Art']"
Chaco,Abeno,"['Story', 'Art', 'Story & Art']"
Akira,Toriyama,"['Story', 'Art', 'Story & Art']"
Youtoku,Tatsunami,"['Story', 'Art', 'Story & Art']"
Asami,Sekiya,"['Story', 'Art', 'Story & Art']"
,Kayu,['Art']
Tomoe,Sasamori,"['Story', 'Art', 'Story & Art']"
,Kuzushiro,"['Story', 'Art', 'Story & Art']"
